"web_page","ref_num","name","link","posted_on"
"01-","QDe.001","ABU SAYYAF GROUP","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/abu-sayyaf-group","07 April 2011"
"01-","QDe.002","AL-ITIHAAD AL-ISLAMIYA / AIAI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-itihaad-al-islamiya/aiai","07 April 2011"
"01-","QDe.003","EGYPTIAN ISLAMIC JIHAD","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/egyptian-islamic-jihad","07 September 2010"
"01-","QDe.004","Al-QAIDA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-qaida","07 October 2011"
"01-","QDe.005","AL RASHID TRUST","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-rashid-trust","07 September 2010"
"01-","QDe.006","ARMED ISLAMIC GROUP","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/armed-islamic-group","07 April 2011"
"01-","QDe.007","ASBAT AL-ANSAR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/asbat-al-ansar","07 April 2011"
"01-","QDe.008","HARAKAT UL-MUJAHIDIN / HUM","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/harakat-ul-mujahidin/hum","07 October 2011"
"01-","QDe.009","ISLAMIC ARMY OF ADEN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/islamic-army-of-aden","07 September 2010"
"01-","QDe.010","ISLAMIC MOVEMENT OF UZBEKISTAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/islamic-movement-of-uzbekistan","07 April 2011"
"01-","QDe.011","LIBYAN ISLAMIC FIGHTING GROUP","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/libyan-islamic-fighting-group","23 August 2010"
"01-","QDe.012","MAKHTAB AL-KHIDAMAT","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/makhtab-al-khidamat","07 September 2010"
"01-","QDe.014","THE ORGANIZATION OF AL-QAIDA IN THE ISLAMIC MAGHREB","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/the-organization-of-al-qaida-in-the-islamic","28 March 2011"
"01-","QDe.015","WAFA HUMANITARIAN ORGANIZATION","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/wafa-humanitarian-organization","07 April 2011"
"01-","QDe.019","JAISH-I-MOHAMMED","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jaish-i-mohammed","07 October 2011"
"01-","QDe.020","JAM’YAH TA’AWUN AL-ISLAMIA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jam%E2%80%99yah-ta%E2%80%99awun-al-islamia","07 April 2011"
"01-","QDe.021","RABITA TRUST","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/rabita-trust","07 April 2011"
"01-","QDe.068","UMMAH TAMEER E-NAU (UTN)","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ummah-tameer-e-nau-%28utn%29","07 April 2011"
"01-","QDe.069","AFGHAN SUPPORT COMMITTEE (ASC)","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/afghan-support-committee-%28asc%29","07 April 2011"
"01-","QDe.070","REVIVAL OF ISLAMIC HERITAGE SOCIETY","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/revival-of-islamic-heritage-society","07 April 2011"
"01-","QDe.088","EASTERN TURKISTAN ISLAMIC MOVEMENT","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/eastern-turkistan-islamic-movement","07 April 2011"
"01-","QDe.089","MOROCCAN ISLAMIC COMBATANT GROUP","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/moroccan-islamic-combatant-group","14 December 2009"
"01-","QDe.090","TUNISIAN COMBATANT GROUP","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/tunisian-combatant-group","07 April 2011"
"01-","QDe.091","GLOBAL RELIEF FOUNDATION (GRF)","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/global-relief-foundation-%28grf%29","07 September 2010"
"01-","QDe.092","JEMAAH ISLAMIYAH","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jemaah-islamiyah","28 March 2011"
"01-","QDe.093","BENEVOLENCE INTERNATIONAL FOUNDATION","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/benevolence-international-foundation","19 November 2010"
"01-","QDe.096","LASHKAR I JHANGVI (LJ)","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/lashkar-i-jhangvi-%28lj%29","07 October 2011"
"01-","QDe.098","ANSAR AL-ISLAM","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ansar-al-islam","19 November 2010"
"01-","QDe.099","ISLAMIC INTERNATIONAL BRIGADE (IIB)","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/islamic-international-brigade-%28iib%29","07 September 2010"
